,ds,y,pos_attr_y,neg_attr_y,sine_spiky_a,pos_attr_sine_spiky_a,neg_attr_sine_spiky_a,sine_spiky_b,pos_attr_sine_spiky_b,neg_attr_sine_spiky_b
40,80098,-0.7356719,0.068080105,0.0,-0.7356719,0.0,0.0,-0.7356719,0.0,0.0
41,80099,-0.1249552,0.0,0.0,-0.1249552,0.0,0.0,-0.1249552,0.0,0.0
42,80100,0.4979932,0.0042897654,0.0,0.4979932,0.0,0.0,0.4979932,0.0,0.0
43,80101,-3.3175178,0.0,0.0,1.0721936,0.0,0.037001412,1.0721936,0.0,0.024182815
44,80102,2.4533055,0.0,0.060486697,1.5414381,0.4099552,0.0,1.5414381,0.0,0.0
45,80103,3.7805083,0.20642897,0.0,1.859793,0.09061309,0.0,1.859793,0.0,0.025550863
46,80104,1.0749108,0.0,0.0,1.9960947,0.0,0.0,1.9960947,0.0,0.28669956
47,80105,-0.78283393,0.0,0.0,1.9370009,0.104778245,0.0,1.9370009,0.0,0.11713859
48,80106,5.086924,0.0,0.0,1.6882962,0.0,0.0,1.6882962,0.0,0.0
49,80107,3.6084764,0.19122721,0.0,1.274326,0.0,0.0,1.274326,0.0,0.0
50,80108,0.73561347,0.0,0.0,0.73561347,0.0,0.0,0.73561347,0.0,0.0
51,80109,0.124892496,0.0,0.20734586,0.124892496,0.0,0.0,0.124892496,0.0,0.051087957
52,80110,-0.49805406,0.0,0.0,-0.49805406,0.0,0.0,-0.49805406,0.0,0.0
53,80111,-1.0722467,0.0,0.0,-1.0722467,0.0,0.0,-1.0722467,0.0,0.0
54,80112,-1.5414782,0.07206258,0.0,-1.5414782,0.0,0.0,-1.5414782,0.0,0.16267149
55,80113,-1.8598161,0.0,0.0,-1.8598161,0.47446147,0.0,-1.8598161,0.4056246,0.0
56,80114,-1.9960986,0.0,0.0,-1.9960986,0.35160697,0.0,-1.9960986,0.0,0.402299
57,80115,-1.9369853,0.0,0.075961895,-1.9369853,0.0,0.46701416,-1.9369853,0.0,0.0
58,80116,-1.6882625,0.0,0.0,-1.6882625,0.0,0.052060597,-1.6882625,0.0,0.64410746
59,80117,-1.2742776,0.3802153,0.0,-1.2742776,0.13827452,0.0,-1.2742776,0.0,0.0030112443
60,80118,-0.735555,0.0,0.0,-0.735555,0.0,0.0,-0.735555,0.0,0.0
61,80119,-0.124829784,0.0,0.0,-0.124829784,0.0,0.0,-0.124829784,0.0,0.0
62,80120,0.4981149,0.08462651,0.0,0.4981149,0.13149408,0.0,0.4981149,0.0,0.0
63,80121,1.0722997,0.015584708,0.0,1.0722997,0.0,0.0,1.0722997,0.0,0.105001785
64,80122,1.5415182,0.30650678,0.0,1.5415182,0.0,0.0,1.5415182,0.0,0.33729318
65,80123,1.8598392,0.05542007,0.0,1.8598392,0.0,0.13351668,1.8598392,0.0,0.50889796
66,80124,1.9961026,0.3755139,0.0,-3.0038974,1.0,0.0,1.9961026,0.0,0.098732114
67,80125,1.9369696,0.0,0.0,1.9369696,0.0,0.2402778,1.9369696,0.0,0.42295316
68,80126,1.6882288,0.14079146,0.0,1.6882288,0.0,0.48331496,1.6882288,0.0,0.35612616
69,80127,1.2742292,0.0,0.0,1.2742292,0.0,0.0,1.2742292,0.0,0.0
70,80128,0.7354966,0.0,0.0,0.7354966,0.0,0.067234784,0.7354966,0.0,0.0
71,80129,0.12476707,0.0,0.09483592,0.12476707,0.0,0.0,0.12476707,0.0,0.0
72,80130,-0.49817577,0.23262239,0.0,-0.49817577,0.0,0.0,-0.49817577,0.0,0.27886778
73,80131,-1.0723528,0.0,0.0,-1.0723528,0.36170426,0.0,-1.0723528,0.0,0.0
74,80132,-1.5415583,0.04235448,0.0,-1.5415583,0.0,0.0,-1.5415583,0.0,0.0
75,80133,-1.8598623,0.0,0.0,-1.8598623,0.0,0.0,-1.8598623,0.0,0.0
76,80134,-1.9961065,0.0,0.0,-1.9961065,0.0,0.0,-1.9961065,0.0,0.0
77,80135,-1.9369539,0.0,0.0,-1.9369539,0.017364092,0.0,-1.9369539,0.0,0.0
78,80136,-1.6881951,0.0,0.0,-1.6881951,0.0,0.0,-1.6881951,0.0,0.0
